hour,bus,P_thermal_MW,P_solar_MW,P_wind_MW,P_demand_MW,P_curtailment_MW
11,3,0.0,1332.976114,96.50433531,1040.514211,0.0
11,4,500.0,88.0555872,0.098062097,2781.62264,0.0
11,5,0.0,916.4408367,388.5250526,1431.871425,0.0
11,6,0.0,1023.929274,15.35989394,981.269167,0.0
11,7,450.0,443.5864239,180.2143749,1177.998317,0.0
11,8,0.0,1332.976114,96.50433531,1426.241061,0.0
11,9,0.0,4022.890361,9.616565388,794.821816,1565.1428777333651
11,10,0.0,443.5864239,180.2143749,1158.188811,0.0
11,11,0.0,801.2876494,247.4897254,1202.051864,0.0
11,12,1354.4282808792018,8.516388615,382.7618524,1784.583404,0.0
11,13,4222.893447796539,80.79149482,61.26829108,1420.058813,0.0
11,14,1100.0,258.0852859,89.94756655,2003.722823,0.0
11,15,0.0,2.071030868,2.486111756,1081.818806,0.0
11,16,0.0,25.56465019,15.00998073,2400.11335,0.0
11,17,0.0,443.5864239,180.2143749,707.8519309,0.0
11,18,0.0,2094.594167,193.8562382,805.2863841,0.0
11,19,1060.0,80.79149482,61.26829108,2500.587049,0.0
12,1,832.7999999999955,2181.851808,195.2255321,1117.715745,0.0
12,2,0.0,1388.505893,97.18598892,1540.004754,0.0
12,3,0.0,1388.505893,97.18598892,1054.529409,0.0
12,4,500.0,91.72385047,0.098754754,2819.089685,0.0
12,5,0.0,954.6183831,391.2693801,1451.158006,0.0
12,6,0.0,1066.584627,15.46838779,994.4863645,0.0
12,7,449.99999999999955,462.0655669,181.4873102,1193.865357,0.0
12,8,0.0,1388.505893,97.18598892,1445.451804,0.0
12,9,0.0,4190.477921,9.684491523,805.5276624,1874.0668494932631
12,10,0.0,462.0655669,181.4873102,1173.789027,0.0
12,11,0.0,834.6680873,249.2378569,1218.242892,0.0
12,12,1434.5704730370544,8.871168552,385.4654719,1808.620837,0.0
12,13,4148.096378015206,84.15714693,61.70105663,1439.186284,0.0
12,14,1100.0,268.8367306,90.58290675,2030.711952,0.0
12,15,0.0,2.157306898,2.503672284,1096.390356,0.0
12,16,0.0,26.62963505,15.11600299,2432.441659,0.0
12,17,0.0,462.0655669,181.4873102,717.3863371,0.0
12,18,0.0,2181.851808,195.2255321,816.1331829,0.0
12,19,1060.0,84.15714693,61.70105663,2534.268687,0.0
13,1,832.7999999999964,2222.182016,202.0642219,1102.134168,0.0
13,2,0.0,1414.171583,100.5903839,1518.536234,0.0
13,3,0.0,1414.171583,100.5903839,1039.828685,0.0
13,4,500.0,93.41931025,0.102214102,2779.790013,0.0
13,5,0.0,972.2639253,404.975425,1430.928059,0.0
13,6,0.0,1086.299798,16.01024061,980.6226737,0.0
13,7,449.9999999999869,470.6065688,187.8447544,1177.222212,0.0
13,8,0.0,1414.171583,100.5903839,1425.301405,0.0
13,9,0.0,4267.936365,10.02373626,794.2981605,2108.082934403646
13,10,0.0,470.6065688,187.8447544,1157.425757,0.0
13,11,0.0,850.0964209,257.9685816,1201.259911,0.0
13,12,1200.1866574367325,9.035146725,398.9682077,1783.40766,0.0
13,13,3818.596273704919,85.71274078,63.86242548,1419.12323,0.0
13,14,1100.0,273.8060146,93.75599785,2002.402703,0.0
13,15,0.0,2.197183408,2.591375147,1081.106067,0.0
13,16,0.0,27.12186771,15.64551188,2398.532074,0.0
13,17,0.0,470.6065688,187.8447544,707.3855741,0.0
13,18,0.0,2222.182016,202.0642219,804.7558341,0.0
13,19,1060.0,85.71274078,63.86242548,2498.939577,0.0
14,1,832.799999999999,2280.113124,217.2431568,1108.713953,0.0
14,2,0.0,1451.038286,108.1466691,1527.601956,0.0
14,3,0.0,1451.038286,108.1466691,1046.036503,0.0
14,4,500.0,95.85470216,0.10989236,2796.385471,0.0
14,5,0.0,997.6103305,435.3969195,1439.470757,0.0
